Date,EW_Nifty (buy-hold),EMA pillar (any of 4 MAs),Drawdown pillar (DD<=-10%),Zone pillar (any N-day low),Aggregate ANY,Aggregate MAJORITY (>=2),Aggregate ALL (3 of 3)
2019-07-24,107544.76991881942,82592.213869072,90837.64502077272,43139.62362924249,87071.59826384387,84503.44714638845,44903.04828277546
2019-07-25,107500.39561064278,82506.77922502747,90700.6012861283,43181.56224383228,86981.53007635295,84375.955970426,44946.701078792845
2019-07-26,108489.86313075284,83286.8140113078,91734.76382160664,43892.82194137195,87816.74966610425,85333.77904446698,45687.03503930271
2019-07-29,107314.81060794834,82022.11557765081,90143.50906959144,43728.19225141434,86507.09482901628,83804.39241641946,45519.834407359376
2019-07-30,106108.45906525379,80827.6607858583,88716.45261964347,42799.8592223459,85236.64392056483,82510.70185122998,44512.219476784
2019-07-31,106859.70980715184,81512.10504043444,89510.43568172926,43228.26617549648,85972.9697211475,83233.61554450617,44957.94966332637
2019-08-01,105937.91444574762,80867.72081725147,88827.16890355415,43101.13319371462,85294.4585041367,82586.26908999895,44825.72971687251
2019-08-02,106260.59536843971,81030.75032121211,89089.68981735369,43183.03601647494,85518.42212670535,82773.28275785413,44910.9097002572
2019-08-05,105182.00973263981,80161.83019406891,88034.19663471026,42225.998003186134,84590.27409877263,81792.47006879405,43921.62780448587
2019-08-06,106475.22162686438,81139.30360387728,89221.52995766714,42468.3930834005,85709.52814208988,82800.50390714292,44155.415343131135
2019-08-07,105783.98802684159,80389.91692927826,88303.20955524406,42192.20891139735,84934.3128279009,81923.22845116771,43868.27908518254
2019-08-08,107402.31190266553,81639.94969155405,89657.42239607383,42639.38447636592,86235.88398295266,83200.27369556963,44333.218394750984
2019-08-09,108038.0532045636,81991.71057073373,89923.10113069374,41923.17249286,86536.53579463628,83518.804804646,43588.55515318157
2019-08-13,105842.87676755003,80193.499186245,87880.32522663672,40541.47493391576,84600.47076737483,81660.0981613676,42151.97016517256
2019-08-14,107016.94818966245,81233.75227520894,89025.6799724831,40765.7508488077,85729.27685973709,82688.76699280328,42385.15535857517
2019-08-16,107846.94359156303,81628.73092960582,89402.24555077091,40693.80504388242,86124.51943482894,83059.3871403077,42310.35153292099
2019-08-19,107894.41855924815,81532.5076688886,89293.93532883647,40698.34481876392,86037.1051656409,82943.3430889799,42315.07164869561
2019-08-20,107593.50646120434,81064.76537307134,88739.76137165168,39565.33538618885,85530.52246126781,82439.85125670415,41137.053831716534
2019-08-21,106654.6517072515,79867.78065158332,87444.75019852661,38770.31945860635,84289.34097734014,81214.67616129968,40310.45618782418
2019-08-22,105237.48545510737,78430.11220197137,85969.052564469,38019.57880761144,82806.53261054345,79799.99385953207,39538.63415343079
2019-08-23,106184.88241910373,79467.59921664845,87258.3652570812,38514.66489060443,83908.35430369672,80942.23305681704,40108.47699489729
2019-08-26,107808.52261676572,80762.66742966848,88633.7816138206,39486.323706012496,85255.04276610828,82237.75874271625,41120.64118035364
2019-08-27,108495.71463473873,81632.40199794187,89433.22043419741,39526.147406808734,86017.70422543459,83141.55112589871,41162.11319436222
2019-08-28,108004.84907262796,80673.48998063763,88584.58592959607,39407.56896458831,85171.26280298547,82189.71871890235,41038.62685477913
2019-08-29,107567.11457274588,80389.2355759571,88363.10816981297,40354.68475389086,84844.96074176549,82013.81360895894,42024.94325253471
2019-08-30,108336.38820417342,80958.57642794466,89062.79751524764,40416.34302889968,85468.65191055421,82580.72526616404,42846.864096158904
2019-09-03,106305.23920734771,79257.73990762883,87298.15535430535,39738.5929058557,83756.89313419613,80879.09347759982,42718.32350387042
