Date,EW_Nifty (buy-hold),S1 (R<0),S1_inv (R>0),S2a (R<0 & PS<0),S2b (R<0 & PS<-0.001),S3 (R<0 & E<=L<=F),S4a (S1 + cross-up 50),S4b (S4a + P<0)
2022-10-04,271158.23637946974,133665.7558244586,165425.71313768104,161192.58883671724,78412.03037848284,80189.22339231452,34814.13860252231,34215.382323785045
2022-10-06,273170.34224104445,134372.41212507137,166132.04977338098,162044.7723882249,78824.66255818731,80560.5900151701,35287.307894445716,34680.41374139022
2022-10-07,272768.68908736896,133777.40414301908,166013.4350628659,161327.2297654796,78420.14206838419,79739.79978784957,35003.89736032632,34401.87748661755
2022-10-10,271081.7959718845,134229.4299508425,165039.50917362762,161872.34477818146,78770.2756910115,79953.65311988608,34898.88566824534,34298.6718541577
2022-10-11,268594.91241318494,131457.71580100217,162574.58467344678,158529.82988667206,77074.48501262841,78247.33216777691,34037.65608949972,33452.25426382849
2022-10-12,269096.7527002737,132881.5840475979,164131.1664807265,160246.92644154865,77514.94562908712,78830.48929982205,34037.65608949972,33452.25426382849
2022-10-13,268101.73729946255,131725.6393318202,163218.79339617296,158852.92900264566,76370.95406599792,77784.80322470721,34037.65608949972,33452.25426382849
2022-10-14,268324.04304565134,131938.98592059215,163718.27957946117,159110.21172065762,76369.99798111102,77850.18617476075,33935.54312123122,33351.897501037
2022-10-17,269267.04414102674,132346.46619866134,164513.84922258055,159601.60759476718,76490.97788898995,77992.99105378563,34091.939433224026,33505.604007176895
2022-10-18,273280.45125386846,133254.8961988377,166670.2354994948,160697.11767962153,77141.00196453538,78560.37347983947,34351.134235068,33760.341007643336
2022-10-19,272668.41781391506,133154.84004355842,166194.79110274935,160492.71941263217,77098.73945116837,78418.99983721082,34248.08083236279,33760.341007643336
2022-10-20,275475.86008920794,134852.0253440102,166635.96656607348,162393.91015362085,78048.4434375622,79482.30190599976,34237.03878743383,33760.341007643336
2022-10-21,274373.10315341287,134786.53240489864,166685.00809150384,162166.22948280408,78532.37850790774,79607.05853265288,34134.32767107152,33659.059984620406
2022-10-24,275714.3903770842,135589.2624784669,167887.24033503156,162992.83607477084,78870.36297499613,79841.5026463106,34252.58331457787,33775.669101303654
2022-10-25,275184.97998742573,135546.54714818852,167807.97716481402,162590.4574941497,78517.48570644385,79868.36464970703,35275.130315064605,34783.97871730485
2022-10-27,277065.98878450174,136184.79299722155,169126.304381424,163593.35157131887,78669.70723580198,80286.71350266995,35169.30492411941,34783.97871730485
2022-10-28,277320.75775322673,137320.85563731694,169141.48454277264,164635.41677689907,78925.68905315222,80548.56236383771,35847.58679255945,34783.97871730485
2022-10-31,280230.65966650506,137838.35908458792,171107.58474863757,165859.21735598933,79536.61534493646,81171.98701639523,35740.04403218177,34679.62678115294
2022-11-01,287411.82196172565,138758.86056663017,172832.83514369468,167009.14201762428,80230.0155566293,81168.6645701876,35903.635801633274,34838.3647363703
2022-11-02,286309.328386137,138625.90966466226,171827.41513279433,167015.03768953664,80500.37443251815,81352.99484551561,35903.635801633274,34838.3647363703
2022-11-03,286338.0801318886,138723.63307361375,171617.78434927575,166815.04072747353,79928.72106198315,81530.45025018658,35795.924894228374,34838.3647363703
2022-11-04,292766.74341492937,138540.62731559758,172709.09632557427,166517.96456487567,79646.28426681389,81241.76907696485,36245.25147754133,34838.3647363703
2022-11-07,296524.8618468494,139696.35371219454,173728.71168211056,167821.1794937601,80607.64159512849,82222.38450726107,36136.51572310871,34733.849642161185
2022-11-09,296582.65374701325,139203.71203415366,173121.13516526364,167272.84094709184,80069.10333582453,81673.05817848854,35689.453319644585,34304.14030267842
2022-11-10,294336.49133146845,138774.332215398,171308.3350091029,166214.6240606732,79634.70300161453,81229.9558794671,35689.453319644585,34304.14030267842
2022-11-11,296582.1687978824,140894.82583170652,172447.66210189325,170321.08409099784,81146.74558771566,82772.28790215803,35582.38495968565,34201.22788177038
