Date,S1,S1_inverted,S3,EW_Nifty
2018-09-28,93561.65971828211,97720.29509460425,100000.0,104797.6526867511
2018-10-01,93597.44849458225,98409.50355664986,100000.0,105375.06789667248
2018-10-03,92277.86981661235,97222.17881873928,100000.0,103965.88408683336
2018-10-04,89724.29342650347,95845.01903473237,100000.0,101962.88893654976
2018-10-05,86777.71935192854,93459.8839539125,100000.0,99461.88765175322
2018-10-08,87172.36253287128,93369.29529389724,100000.0,99563.12814726017
2018-10-09,86150.40862267223,93409.98216417768,100000.0,99284.81846616522
2018-10-10,89037.3702987713,95095.73522594284,100000.0,101442.5401773124
2018-10-11,87451.89661221823,92652.40495630247,100000.0,99077.01133522727
2018-10-12,90032.62252746917,94561.06051425349,100000.0,101441.24292444332
2018-10-15,89645.69735447277,95057.25050841754,100000.0,101656.11823736827
2018-10-16,90455.59021688966,95817.7437620357,100000.0,102569.5305869471
2018-10-17,88511.38207727537,95115.86478804881,100000.0,101286.53753543193
2018-10-19,87907.81149055882,94193.14778546101,100000.0,100506.60889445129
2018-10-22,87066.46728025706,93629.69980349875,100000.0,99747.91592098144
2018-10-23,86377.50340367353,92281.7495567262,100000.0,98597.60660220346
2018-10-24,87755.41084545532,92333.18766260092,100000.0,99408.72977508738
2018-10-25,87043.06270632785,92051.48577261095,100000.0,98987.94703279807
2018-10-26,86619.50350068437,90828.81961231993,100000.0,98045.64288834544
2018-10-29,87871.74918699075,93777.62586310672,100000.0,100223.63114695753
2018-10-30,87732.03552144705,93361.71092302026,100000.0,99981.33298739565
2018-10-31,88880.20542210946,94588.49079138492,100000.0,101420.53265410128
2018-11-01,89509.75172195754,94199.40369180855,100000.0,101528.89097152713
2018-11-02,91645.60468853648,94289.08804619097,100000.0,102781.3795903602
2018-11-05,91636.11101420947,93911.10550351662,100000.0,102570.82117286285
2018-11-06,91171.83141499182,93513.69677053072,100000.0,102113.4605861801
2018-11-07,91787.91360020377,93980.55471080745,100000.0,102730.2514914358
2018-11-09,92236.9701005479,93530.66065532147,100000.0,102862.5598352846
2018-11-12,91203.96174056755,93045.88806885213,100000.0,101958.76664729875
2018-11-13,92065.97822067815,93752.65200603704,100000.0,102796.51729417812
2018-11-14,92721.04980263811,92542.82141178889,100000.0,102670.51156634836
