Date,strategy,ew_nifty
2024-06-26,186762.15941569675,384168.91845920257
2024-06-27,188828.07717885837,386575.21885042725
2024-06-28,189397.87355638907,387776.2382553447
2024-07-01,190336.22192748878,389326.2804681177
2024-07-02,190079.4923163461,388183.40498100815
2024-07-03,191439.72984279293,390750.51029651146
2024-07-04,192100.2174731191,390487.83091126656
2024-07-05,192441.43382100557,392453.2163978919
2024-07-08,192334.6760766401,390897.994632861
2024-07-09,192798.1544015619,392291.8683184206
2024-07-10,193236.77673217264,391123.0270108583
2024-07-11,193377.498767267,390875.6247340897
2024-07-12,196189.23335691437,392888.69232281594
2024-07-15,196788.2267845298,395233.40806418774
2024-07-16,197897.98571742122,396233.80591695465
2024-07-18,200478.64936105645,395606.67702073266
2024-07-19,199313.8392039214,388172.90796933457
2024-07-22,198670.09383244815,388615.7750411057
2024-07-23,202225.60436290345,389581.74296079663
2024-07-24,199861.5517685124,388535.77588218154
2024-07-25,198234.6610797374,388655.1097847672
2024-07-26,202652.1324378241,397770.1904234069
2024-07-29,202849.39367604052,398752.0377426767
2024-07-30,205789.35820505585,400634.4906259465
2024-07-31,206529.87079162552,404527.2856078329
2024-08-01,206630.2661757152,406377.8730900453
2024-08-02,204403.8968761376,399715.4818398943
2024-08-05,199324.6122030167,388605.405019184
2024-08-06,198572.72010333688,387889.75625825033
2024-08-07,199204.16731560367,396411.23527595564
2024-08-08,197553.40105953714,393606.1005008307
2024-08-09,199128.16642302313,401371.4610119547
2024-08-12,198405.0827046287,400313.2926189586
2024-08-13,197659.81818982156,397366.9113038005
2024-08-14,196436.09832772147,395775.5729316622
2024-08-16,199917.05394617192,402877.87891603104
2024-08-19,199767.19176237326,405025.4221448683
2024-08-20,202221.86723040082,406882.19892235694
2024-08-21,203629.2047642776,409424.23360915895
2024-08-22,204448.909075725,410850.5731364555
2024-08-23,204306.55497781473,410345.9102875578
2024-08-26,206202.07007710534,412461.05198873684
2024-08-27,206070.91148489952,411829.2731356467
2024-08-28,206185.30752756516,413546.7317772368
2024-08-29,206971.249984817,413998.06297657226
2024-08-30,208302.2686144228,415600.5424936601
2024-09-02,210989.11382492853,417002.08152672905
2024-09-03,210246.41822366338,415990.90805293806
2024-09-04,208864.0456585907,415124.4534495805
2024-09-05,208289.5257306602,414613.7196563337
2024-09-06,207447.6891415962,410599.2502150972
2024-09-09,207306.20367081283,410665.4321283137
2024-09-10,207381.21828765346,412343.51684181415
2024-09-11,205493.6310798764,410339.1325555757
2024-09-12,209123.51646858588,418024.2432962929
2024-09-13,209716.53332427013,417433.1575738902
2024-09-16,210358.22556426015,418338.9741697856
2024-09-17,209139.22161127382,419081.5366399865
2024-09-18,209040.63969451684,417172.77564905834
2024-09-19,209041.00906697393,416657.114881327
2024-09-20,210980.12101142632,423017.03962954466
2024-09-23,212905.06961102283,427044.05987775704
2024-09-24,214908.97616556022,428360.3505871002
2024-09-25,214982.82261901625,429118.64241749153
2024-09-26,218887.80022024384,434374.71220598463
2024-09-27,219763.3399447065,435179.9079638738
2024-09-30,218936.6949396565,430919.7296886945
2024-10-01,218505.54027761953,432410.7955077653
2024-10-03,216235.75800069122,423801.96277917357
2024-10-04,215791.9170704688,419658.6216664482
2024-10-07,210978.23734918595,415273.1410575532
2024-10-08,213401.899919444,423840.55391524313
2024-10-09,212790.02442645602,425144.9186417966
2024-10-10,213585.08780510823,423830.714008683
2024-10-11,213232.32960838953,424544.64604556555
2024-10-14,213138.2719364474,424952.6561101395
2024-10-15,211249.6045632625,423432.1874195137
2024-10-16,210581.73896866068,419911.7876946999
2024-10-17,209216.22270486486,413795.8798156837
2024-10-18,210505.98193013924,414909.725804792
2024-10-21,207707.15345392586,410268.1987422316
2024-10-22,202689.05554494984,402823.01527804014
2024-10-23,201412.00690358094,402662.14278926
2024-10-24,201467.44624380852,401644.1839631631
2024-10-25,193993.5824648623,393998.40010570217
2024-10-28,195842.99883922093,398327.0923600838
2024-10-29,197250.82658464892,401263.6678543768
2024-10-30,198820.6233995191,401986.39915479656
2024-10-31,198791.35351097345,399443.8171877603
2024-11-01,199981.6891411739,400885.6300615052
2024-11-04,196397.81033335326,395493.2281720032
2024-11-05,198523.787187162,397807.36080305505
2024-11-06,200738.61323269235,404130.22132142703
2024-11-07,198395.1867983636,396538.45868510235
2024-11-08,197644.51143580515,394386.85620493937
2024-11-11,197381.61091796277,393411.71397767443
2024-11-12,195073.92397256658,389441.2984513148
2024-11-13,191751.44649840536,383978.9361799775
2024-11-14,190467.74076190958,383074.8747367769
2024-11-18,190696.002796564,380973.74775055604
