symbol,leg,kind,review,announce,effective,source
# kind: entry=clean fresh add (Next50 forced BUY) | exit=clean drop below (forced SELL)
# promotion=left Next50->Nifty50 (confounded, net-buy) | relegation=entered Next50<-Nifty50 (confounded, net-sell)
# merger/adhoc=event-driven, excluded from regular-review study. Source = niftyindices.com press-release PDF date.
MARICO,drop,exit,2024-09,2024-08-23,2024-09-30,ind_prs23082024
SBICARD,drop,exit,2024-09,2024-08-23,2024-09-30,ind_prs23082024
SRF,drop,exit,2024-09,2024-08-23,2024-09-30,ind_prs23082024
BEL,drop,promotion,2024-09,2024-08-23,2024-09-30,ind_prs23082024
TRENT,drop,promotion,2024-09,2024-08-23,2024-09-30,ind_prs23082024
BAJAJHFL,add,entry,2025-03,2025-02-21,2025-03-28,ind_prs21022025
CGPOWER,add,entry,2025-03,2025-02-21,2025-03-28,ind_prs21022025
HYUNDAI,add,entry,2025-03,2025-02-21,2025-03-28,ind_prs21022025
INDHOTEL,add,entry,2025-03,2025-02-21,2025-03-28,ind_prs21022025
SWIGGY,add,entry,2025-03,2025-02-21,2025-03-28,ind_prs21022025
BPCL,add,relegation,2025-03,2025-02-21,2025-03-28,ind_prs21022025
BRITANNIA,add,relegation,2025-03,2025-02-21,2025-03-28,ind_prs21022025
ATGL,drop,exit,2025-03,2025-02-21,2025-03-28,ind_prs21022025
BHEL,drop,exit,2025-03,2025-02-21,2025-03-28,ind_prs21022025
IRCTC,drop,exit,2025-03,2025-02-21,2025-03-28,ind_prs21022025
NHPC,drop,exit,2025-03,2025-02-21,2025-03-28,ind_prs21022025
UNIONBANK,drop,exit,2025-03,2025-02-21,2025-03-28,ind_prs21022025
ZOMATO,drop,promotion,2025-03,2025-02-21,2025-03-28,ind_prs21022025
JIOFIN,drop,promotion,2025-03,2025-02-21,2025-03-28,ind_prs21022025
HINDZINC,add,entry,2025-09,2025-08-22,2025-09-30,ind_prs22082025
MAZDOCK,add,entry,2025-09,2025-08-22,2025-09-30,ind_prs22082025
ENRIN,add,entry,2025-09,2025-08-22,2025-09-30,ind_prs22082025
SOLARINDS,add,entry,2025-09,2025-08-22,2025-09-30,ind_prs22082025
INDIGO,drop,promotion,2025-09,2025-08-22,2025-09-30,ind_prs22082025
DABUR,drop,exit,2025-09,2025-08-22,2025-09-30,ind_prs22082025
ICICIPRULI,drop,exit,2025-09,2025-08-22,2025-09-30,ind_prs22082025
SWIGGY,drop,exit,2025-09,2025-08-22,2025-09-30,ind_prs22082025
