date,weight,close,MA_300,MA_300_gain,MA_200,MA_200_gain,MA_100,MA_100_gain,MA_50,MA_20,price_gain,gain_200dma,gain_200dma_50dma,gain_100dma,gain_100dma_50dma,price_signal,price_gt_50,ma50_gt_ma100,ma100_gt_ma200,strategy1_amt
2013-10-17 15:29:59.712,959.0,218.02,207.79446,0.0004035514391,208.8093433,0.0004573520359,211.9684931,0.0007605077966,211.8653176,212.2112381,0.01447117398,0.0006451148029,0.000398866193,0.0009687908397,0.0006010484442,0.001,1.0,-1.0,1.0,0.0
2013-10-18 15:29:59.712,960.0,224.29,207.9191163,0.0005999017342,208.9664154,0.0007522275432,212.2490297,0.001323482701,212.3901647,213.3385714,0.02875882947,0.0009259792311,0.0004207094234,0.001511301878,0.0006365985579,0.003,1.0,1.0,1.0,0.0
2013-10-21 15:29:59.712,961.0,226.16,208.0553087,0.0006550262043,209.1412886,0.000836848036,212.5607505,0.001468655911,212.9789569,214.6042381,0.008337420304,0.001003585626,0.0004452371534,0.00164424341,0.0006769027063,0.003,1.0,1.0,1.0,0.0
2013-10-22 15:29:59.712,962.0,223.93,208.1757708,0.0005789903475,209.2930652,0.0007257133107,212.8241485,0.001239165835,213.4702588,215.6308571,-0.009860275911,0.0008996649753,0.0004653055185,0.001425716407,0.0007081459921,0.003,1.0,1.0,1.0,0.0
2013-10-23 15:29:59.712,963.0,222.08,208.2830372,0.0005152686347,209.4256512,0.0006334948057,213.0479307,0.001051488658,213.8767451,216.4549524,-0.008261510293,0.0008122099998,0.0004814530828,0.001244411024,0.0007315847934,0.003,1.0,1.0,1.0,0.0
2013-10-24 15:29:59.712,964.0,219.05,208.3693249,0.000414281013,209.5274871,0.0004862624053,213.2093168,0.0007575109417,214.1596863,216.9640476,-0.01364373199,0.000672041726,0.0004919697409,0.0009592152751,0.0007438652186,0.003,1.0,1.0,1.0,0.0
2013-10-25 15:29:59.712,965.0,219.67,208.4591922,0.0004312886801,209.6351995,0.0005140730666,213.3806416,0.0008035519039,214.4632784,217.5205238,0.002830404017,0.000697225003,0.0005033853312,0.001000357837,0.000757880134,0.003,1.0,1.0,1.0,0.0
2013-10-28 15:29:59.712,966.0,220.6,208.5546726,0.0004580292077,209.7518557,0.0005564724778,213.5664238,0.0008706608849,214.7953098,218.1208095,0.004233623162,0.000736292858,0.0005160405046,0.001061502788,0.0007740194046,0.003,1.0,1.0,1.0,0.0
2013-10-29 15:29:59.712,967.0,222.09,208.659505,0.0005026611743,209.8829169,0.0006248392587,213.7766673,0.0009844410964,215.1784157,218.8010476,0.006754306437,0.0007999284906,0.0005309323921,0.001167211748,0.0007941123846,0.003,1.0,1.0,1.0,0.0
2013-10-30 15:29:59.712,968.0,222.43,208.7659568,0.0005101700364,210.016793,0.0006378609625,213.9879267,0.0009882248076,215.5686824,219.4465714,0.001530910892,0.0008109092574,0.0005460540544,0.001166211361,0.0008141059887,0.003,1.0,1.0,1.0,0.0
2013-10-31 15:29:59.712,969.0,226.53,208.8990146,0.0006373539505,210.190905,0.0008290381821,214.2756594,0.001344621062,216.105851,220.3932381,0.01843276536,0.0009901095945,0.0005676444924,0.001505132152,0.0008466331908,0.003,1.0,1.0,1.0,0.0
2013-11-01 15:29:59.712,970.0,224.93,209.0207471,0.0005827334687,210.3483,0.0007488193882,214.5256911,0.001166869274,216.5619294,221.0775238,-0.007063082152,0.0009145497149,0.0005855096186,0.001333062117,0.0008712651158,0.003,1.0,1.0,1.0,0.0
2013-11-05 15:29:59.712,971.0,225.29,209.1442753,0.0005909855406,210.5084348,0.0007612841457,214.7767386,0.001170244568,217.0160235,221.7238095,0.001600497933,0.0009249504691,0.0006031266775,0.001331846819,0.0008949289588,0.003,1.0,1.0,1.0,0.0
2013-11-06 15:29:59.712,972.0,222.54,209.2490179,0.0005008152172,210.6404408,0.0006270816191,214.9674277,0.0008878480516,217.3377804,222.0429524,-0.01220648941,0.0007983430963,0.0006147178023,0.001058357876,0.0009061569875,0.003,1.0,1.0,1.0,0.0
