ticker,bars,bh_cagr,S1,S2a,S2b,S3,S4a,S4b,best,best_name,alpha,years
TITAN.NS,4056,0.2982312711934698,0.26955115399611473,0.27234092638275714,0.2784904173824483,0.28041618424886805,0.2759751534708656,0.2763244552782275,0.28041618424886805,S3,-0.017815086944601766,16.095238095238095
BRITANNIA.NS,4056,0.2549991042482178,0.21572358405925088,0.21815393971479838,0.2182777869052083,0.21649963843891845,0.22624877228726326,0.23047683591308363,0.23047683591308363,S4b,-0.024522268335134184,16.095238095238095
BAJFINANCE.NS,4056,0.4328694901134844,0.3752163022288956,0.38045494692094234,0.3817393856580877,0.39331593484059163,0.39451206789261917,0.40256131662695627,0.40256131662695627,S4b,-0.030308173486528145,16.095238095238095
HCLTECH.NS,4057,0.20355602491866875,0.15653879680925542,0.15847900929092798,0.15678853904518586,0.16184594272610453,0.17083796805818627,0.1708306057953539,0.17083796805818627,S4a,-0.032718056860482486,16.099206349206348
HDFCLIFE.NS,2092,0.07508223887974141,0.02394328815471986,0.030111770720119436,0.04009734381951035,0.03985427368939115,0.03269254576438321,0.03269254576438321,0.04009734381951035,S2b,-0.034984895060231065,8.301587301587302
ITC.NS,4056,0.11614980556644006,0.0699380183669703,0.07128427481052728,0.0711709886853234,0.07749933910532437,0.06633884045353614,0.0682054885236095,0.07749933910532437,S3,-0.03865046646111568,16.095238095238095
HDFCBANK.NS,4056,0.14992392942284072,0.10090106980540883,0.10485131623994604,0.10245309143531715,0.09989953829487155,0.09641195811967565,0.09924726610443954,0.10485131623994604,S2a,-0.04507261318289468,16.095238095238095
HINDUNILVR.NS,4056,0.15726850670460002,0.10259688616933638,0.10679600926597785,0.10813138809487947,0.10108922152748694,0.10987936404314806,0.09993447328194187,0.10987936404314806,S4a,-0.04738914266145196,16.095238095238095
KOTAKBANK.NS,4056,0.14649785399606863,0.0864177365673281,0.08832155678788056,0.06826844578875278,0.08022339041068612,0.08909081515335988,0.09014594827495186,0.09014594827495186,S4b,-0.05635190572111677,16.095238095238095
ASIANPAINT.NS,4056,0.1904782771145912,0.1106195464953517,0.11189180188816099,0.09895653564115539,0.09007283084753111,0.10218752694661977,0.10496340067784563,0.11189180188816099,S2a,-0.07858647522643021,16.095238095238095
TCS.NS,4056,0.1503290035765421,0.04812428025224656,0.05256040259306031,0.03993172405686629,0.047671476638363776,0.05051053277834901,0.05498870604019566,0.05498870604019566,S4b,-0.09534029753634646,16.095238095238095
INDUSINDBK.NS,4056,0.1380792120663028,0.0247244264874313,0.02138972354600723,0.024802400007012608,0.025296946861166007,0.011074146743573866,0.011385532291199952,0.025296946861166007,S3,-0.11278226520513679,16.095238095238095
